relative_path,bytes,sha256
code/d12_bootstrap_uncertainty.py,47493,ed579bd41c5dff8a91a6cca28f0ce34946f93a781f5738c675110ea8b25f62ac
code/test_d12_bootstrap.py,7009,2d85e12097910ad3ef8d566d16be30d03264d86cb3b9facf4d7e9f3f9cd463b6
config/d12_bootstrap_protocol.json,12442,beff75845f185d420517e472fc7c9179b54885d7426632916092635a65572616
figures/d12_h1_optimism_gaps.png,167614,59b3e71c7cce6cad89d757b340d258dfaae1facead15cd9b48cca0daa9f2e2b3
figures/d12_h2_temporal_differences.png,96260,db85b5ea3fef2c0a2ff9a82ff4445a146c6fbc762d299a53e0eb806faa771695
logs/d12_bootstrap_audit.csv,15680,c52817d5494a75ba2c9b79dbeecd944974a11c6eb60aa8ab0f5b86a0e2bb1ace
logs/d12_checkpoint.md,1236,04d9913fd51ec2ce873cfb4e2405b3519ebd941834e51d4350fd38a87f08c365
logs/d12_run_summary.json,1623,871b9b93dee9e420ec56dea036d13b10b879f1e53c8b9da0302db72151f0efe1
results/d12/d12_bootstrap_draw_metadata.json,5433,8d511e135e1008311bef768c0d697956d6b8e2e39bd71e42c9269bca55319668
results/d12/d12_bootstrap_draws.npz,2440683,091463a87650dd331aa1edf547b46084a981552c557ab64d7bd95222f02c834c
results/d12/d12_model_gain_summary.csv,1603,74d29950aada795f4afab12866e6b6ae7704451e68690bf6e318dd63ed6070cc
results/d12/d12_model_metric_intervals.csv,97618,37eccd2159ed05b90d9d7baabb0c9bf6b44a79a56e7d5e36f32861ee9523dd92
results/d12/d12_pairwise_model_differences.csv,29884,4300b6754e1f39fe077a0f98e9a081b41a4ce126ca020cb6eb1eda529b4204b3
results/d12/d12_random_optimism_gaps.csv,37218,e5c8ed6fc059be357739b3aa352a3fee52002fe329438574b9e1f6a4c1326c5a
results/d12/d12_random_optimism_summary.csv,6394,eb9d82b056d51189b5bf40fa119ba6ebb8ffe287cd4d6577c1b9560c16f18667
