relative_path,bytes,sha256
code/d11_evaluate_frozen_models.py,38806,7cc6ffcb554f5b86efc68a8a17fd5f4601f253111d0926de048ede585b5d4b3c
code/test_d11_evaluation.py,7763,651f4cc1699279043ee514b199a52a70bb9329ae6683fc3d934d64db9f7d2c12
config/d11_evaluation_protocol.json,17430,3bfb1617463df61c08123f5638535a39b335675c875bb88e15c6485b343befa5
figures/d11_test_metric_overview.png,141972,4d6191c1c6f99a0977a573bcb8c64fe96655ee43fc5f7ca2ed012f2d5afe5ad3
logs/d11_preprocessing_audit.csv,38480,bbd4775c27c3e4236ea3781f4b0c579eab1e54b1607204efd06835dc538a6287
logs/d11_run_lock.json,496,4169a25a830de1f4451f90a7681e2e05ef01e20f50aaabd68f12a5785d9b3425
logs/d11_run_summary.json,616,58e008b630cc45fbd8bec4b95a8126075cec3feb0fb828f5012768638d82f214
results/d11/d11_test_confusion_matrices.csv,67150,6b27e4a73d751c8565a5b45b75254567f7fcadce29371acb5b3f4e0f6812e354
results/d11/d11_test_metrics.csv,22537,d0755ce6feffb0bd6150dacbf87e2632472199d3928b5664f06a6bf1c96745b6
results/d11/predictions/random_seed_1103__dummy_most_frequent__2024_diagnostic.csv.gz,621208,d52c5a68ad9c36cf35fd7157645aaaf92e970acd212f387c73890144fa02c2d4
results/d11/predictions/random_seed_1103__dummy_most_frequent__test.csv.gz,596520,0c10b556a3e129cf293ce1848db2da34ec7dc4a816a9e39b8e8ffb256b832714
results/d11/predictions/random_seed_1103__lightgbm_weighted__2024_diagnostic.csv.gz,3604717,8720c895bf3d4cb16cad1288726fee797c0e6668416bec938690068ed83d4170
results/d11/predictions/random_seed_1103__lightgbm_weighted__test.csv.gz,3450190,333c0b839db6057bef36d6239942b73b3400bc198b353d887b23e8f0958e6ca8
results/d11/predictions/random_seed_1103__logistic_unweighted__2024_diagnostic.csv.gz,3566153,a76534968bfb0c681b7864590ded08383debd19a4a8c9cb6a3641477c80bc417
results/d11/predictions/random_seed_1103__logistic_unweighted__test.csv.gz,3411428,67ed1a46fc0e36e1288413845b0a0b72b04bd8468c83b10c73e2bdada0003e19
results/d11/predictions/random_seed_1103__logistic_weighted__2024_diagnostic.csv.gz,3580828,e2682b119a0b251ff53a7385a3fa1168f8614556cd651411be5520fc5da6e0d6
results/d11/predictions/random_seed_1103__logistic_weighted__test.csv.gz,3429188,4163bbc873c1c0928b9953c77f5d3e3e09a2ec44cb5d662f1cab820e4d3e984c
