relative_path,bytes,sha256
config/d14_closeout_protocol_v2.json,4886,feb5e66cc0ec25db41ac34e9a0d0152c28909588e948ef83540bb2fe5c2ddb7d
results/d14/d14_error_structure.csv,1888,93eb77e7fe6d4e8ad68ce6ca13cc5d653929f88f27b2eb7d006e6eec655c75dc
results/d14/d14_paired_error_outcomes.csv,1278,8805327b02b46f1293006ac907f3423da26eb3c9c41fdf0682a0fe1a85aa760b
results/d14/d14_illustrative_high_confidence_errors.csv,14891,d6129c221bb494cac7d4633e7e4f9cf90f5dbaf127a8824bf3e5f76313738428
logs/d14_protocol_deviations.json,2076,90a31dc86355ee9b84aeb0d067802075a5f44f4b9714cb8e8bc9bf204a19886c
logs/d14_limitations_and_boundaries.md,3779,26c45011442f4433d8e03d92021c40e87111c5c388b9c7cdcb03afeea60726f0
logs/d14_final_checkpoint.md,1564,ddd7a17266ceace607b672ff2a3d24c941d0c9a049bcd27d703d31eeb8b3c11c
logs/d14_final_summary.json,4658,20b7d749d826e95c3d5e76fc35207854954f79c4c318fdf8b4bcae596d873433
code/d14_closeout.py,30715,dd8b4a73dbaa7a140599598909707157928a92ec9eddc616eb246fa404334996
code/test_d14_closeout.py,4110,c28776bacb0f07c02bbbd9e5d1f7ddfec6e86628c4b9379229055b70bdbb0a85
